mounting	position	day	amplitudeMeasured	amplitudeAdjusted
1	1	0	12.8220080276645	-0.746064566359728
1	1	1	12.8222605207029	-0.720815262520347
1	1	2	12.8222456665815	-0.722300674662968
1	1	3	12.8223269482932	-0.714172503495014
1	1	4	12.8222856009894	-0.718307233874782
1	1	5	12.8226274813747	-0.684119195339861
1	1	6	12.8228622947087	-0.660637861938795
1	1	7	12.8226121242335	-0.685654909461597
1	1	8	12.8227026410224	-0.676603230576411
1	1	9	12.8229117912489	-0.655688207920768
1	2	0	12.8266149489284	-0.285372439969045
1	2	1	12.8266309973919	-0.283767593620965
1	2	2	12.8267380440248	-0.273062930332912
1	2	3	12.8267244664731	-0.274420685505739
1	2	4	12.8269413788297	-0.252729449840494
1	2	5	12.827012076084	-0.245659724411595
1	2	6	12.8270001901765	-0.246848315162573
1	2	7	12.8271339859598	-0.233468736827547
1	2	8	12.8272621799928	-0.220649333529188
1	2	9	12.8275612175498	-0.190745577829077
2	1	0	12.8335930272763	0.412435394818012
2	1	1	12.8334909221906	0.40222488624444
2	1	2	12.8339432628832	0.447458955506796
2	1	3	12.834016000655	0.454732732687546
2	1	4	12.8337483043514	0.427963102330331
2	1	5	12.833996375106	0.452770177791173
2	1	6	12.8339955847225	0.45269113944002
2	1	7	12.8341848865417	0.471621321356785
2	1	8	12.8342360726218	0.476739929370495
2	1	9	12.8349286606706	0.545998734247988
2	2	0	12.8389819705528	0.951329722468763
2	2	1	12.8391392940597	0.967062073162062
2	2	2	12.8387140614243	0.924538809621822
2	2	3	12.838724845306	0.925617197791162
2	2	4	12.8393631453347	0.989447200661608
2	2	5	12.8393508166251	0.988214329702508
2	2	6	12.8393105976114	0.984192428330033
2	2	7	12.8395484893542	1.00798160260709
2	2	8	12.839322179163	0.985350583489897
2	2	9	12.8396179121437	1.01492388155346
3	1	0	12.8320141174522	0.25454441240278
3	1	1	12.8314106597053	0.194198637720788
3	1	2	12.8316161399226	0.21474665944865
3	1	3	12.8322281899799	0.275951665174645
3	1	4	12.8322530757468	0.278440241864608
3	1	5	12.8319812208731	0.251254754494568
3	1	6	12.8317813739391	0.231270061101796
3	1	7	12.8318612554288	0.239258210064008
3	1	8	12.83183432296	0.23656496318516
3	1	9	12.8317918219012	0.232314857307792
3	2	0	12.824740949932	-0.472772339611893
3	2	1	12.8250075185754	-0.446115475271469
3	2	2	12.82461210186	-0.48565714681299
3	2	3	12.8252697774126	-0.419889591551659
3	2	4	12.8251055020514	-0.436317127669561
3	2	5	12.8252310873209	-0.423758600719637
3	2	6	12.8257064945986	-0.37621787295663
3	2	7	12.825318012141	-0.415066118709895
3	2	8	12.8253528122463	-0.411586108184103
3	2	9	12.8253082833208	-0.416039000736745
4	1	0	12.8310925876428	0.162391431465458
4	1	1	12.83136017611	0.189150278187178
4	1	2	12.8316850982337	0.221642490555851
4	1	3	12.8316129308637	0.214425753562253
4	1	4	12.8318296118982	0.236093857012243
4	1	5	12.8320162940509	0.254762072273174
4	1	6	12.8311744888998	0.170581557168248
4	1	7	12.8317313452345	0.226267190634744
4	1	8	12.8316058538208	0.213718049267086
4	1	9	12.8319230620451	0.245438871698589
4	2	0	12.827913102417	-0.155557091108172
4	2	1	12.8278131580936	-0.165551523456386
4	2	2	12.8281572087645	-0.131146456357634
4	2	3	12.8281095766676	-0.135909666049017
4	2	4	12.8276150071252	-0.185366620296179
4	2	5	12.828395038748	-0.10736345801039
4	2	6	12.8279667002335	-0.150197309457489
4	2	7	12.8277578698014	-0.171080352675368
4	2	8	12.8277424662871	-0.172620704100801
4	2	9	12.8279242286786	-0.154444464953585
5	1	0	12.8277562897176	-0.17123836104922
5	1	1	12.826902413168	-0.256626016015282
5	1	2	12.8271985886123	-0.227008471585677
5	1	3	12.8273616467553	-0.21070265728369
5	1	4	12.8281633169677	-0.130535636044193
5	1	5	12.8277363793968	-0.173229393134555
5	1	6	12.8279271339446	-0.154153938350277
5	1	7	12.827735599658	-0.173307367010977
5	1	8	12.8275425095009	-0.192616382719635
5	1	9	12.8278045326004	-0.166414072775289
5	2	0	12.8288369715504	-0.0631701777697558
5	2	1	12.8289209384138	-0.0547734914309927
5	2	2	12.8289864544074	-0.0482218920687671
5	2	3	12.8289614551425	-0.0507218185660463
5	2	4	12.8289952046771	-0.0473468651001951
5	2	5	12.8292947260696	-0.0173947258476304
5	2	6	12.8290619970401	-0.0406676288024599
5	2	7	12.8292030963671	-0.0265576961050229
5	2	8	12.829214121346	-0.0254551982148854
5	2	9	12.8294381724328	-0.00305008953276342
6	1	0	12.8289860629118	-0.0482610416280949
6	1	1	12.8286501878871	-0.0818485441056893
6	1	2	12.8286982971875	-0.0770376140662776
6	1	3	12.8285842729212	-0.0884400406919283
6	1	4	12.8289586157988	-0.0510057529316654
6	1	5	12.8295545897163	0.00859163881923308
6	1	6	12.8294057019375	-0.00629713906068474
6	1	7	12.8286034391462	-0.0865234181880226
6	1	8	12.8286233676093	-0.084530571882091
6	1	9	12.8295606534306	0.00919801025123235
6	2	0	12.821920547295	-0.754812603313049
6	2	1	12.8221504802599	-0.731819306826331
6	2	2	12.8215929002158	-0.787577311231757
6	2	3	12.8217584479842	-0.771022534392074
6	2	4	12.8214607217005	-0.800795162758838
6	2	5	12.8220819343854	-0.738673894276154
6	2	6	12.8220856457113	-0.738302761679854
6	2	7	12.8224957238076	-0.697294952052907
6	2	8	12.8222233893668	-0.724528396131596
6	2	9	12.8224574176928	-0.701125563528393
7	1	0	12.8277557371501	-0.171293617799506
7	1	1	12.8278008483643	-0.166782496382645
7	1	2	12.8280857769308	-0.138289639734701
7	1	3	12.8281001103847	-0.136856294347076
7	1	4	12.8279281074375	-0.154056589058982
7	1	5	12.8282311539077	-0.12375194203802
7	1	6	12.8281857272098	-0.128294611827506
7	1	7	12.8284313776949	-0.103729563324606
