Gender	Information	Product	Consumer	Age	Informedliking
1	1	1	1	46	5
1	2	1	1	46	5
1	1	2	1	46	4
1	2	2	1	46	4
1	1	3	1	46	4
1	2	3	1	46	6
1	1	4	1	46	6
1	2	4	1	46	6
2	1	1	2	48	5
2	2	1	2	48	5
2	1	2	2	48	8
2	2	2	2	48	9
2	1	3	2	48	8
2	2	3	2	48	8
2	1	4	2	48	7
2	2	4	2	48	7
1	1	1	3	62	7
1	2	1	3	62	7
1	1	2	3	62	3
1	2	2	3	62	7
1	1	3	3	62	7
1	2	3	3	62	8
1	1	4	3	62	8
1	2	4	3	62	4
1	1	1	4	53	7
1	2	1	4	53	7
1	1	2	4	53	3
1	2	2	4	53	2
1	1	3	4	53	5
1	2	3	4	53	5
1	1	4	4	53	5
1	2	4	4	53	6
2	1	1	5	50	3
2	2	1	5	50	5
2	1	2	5	50	3
2	2	2	5	50	3
2	1	3	5	50	5
2	2	3	5	50	7
2	1	4	5	50	7
2	2	4	5	50	6
1	1	1	6	52	5
1	2	1	6	52	5
1	1	2	6	52	5
1	2	2	6	52	4
1	1	3	6	52	8
1	2	3	6	52	8
1	1	4	6	52	3
1	2	4	6	52	7
2	1	1	7	38	9
2	2	1	7	38	8
2	1	2	7	38	1
2	2	2	7	38	2
2	1	3	7	38	7
2	2	3	7	38	8
2	1	4	7	38	4
2	2	4	7	38	3
1	1	1	8	35	6
1	2	1	8	35	7
1	1	2	8	35	5
1	2	2	8	35	6
1	1	3	8	35	6
1	2	3	8	35	9
1	1	4	8	35	8
1	2	4	8	35	8
1	1	1	9	62	6
1	2	1	9	62	7
1	1	2	9	62	5
1	2	2	9	62	6
1	1	3	9	62	8
1	2	3	9	62	8
1	1	4	9	62	5
1	2	4	9	62	8
1	1	1	10	44	6
1	2	1	10	44	5
1	1	2	10	44	8
1	2	2	10	44	9
1	1	3	10	44	7
1	2	3	10	44	9
1	1	4	10	44	7
1	2	4	10	44	7
2	1	1	11	41	9
2	2	1	11	41	9
2	1	2	11	41	1
2	2	2	11	41	1
2	1	3	11	41	9
2	2	3	11	41	3
2	1	4	11	41	7
2	2	4	11	41	6
2	1	1	12	31	3
2	2	1	12	31	3
2	1	2	12	31	1
2	2	2	12	31	1
2	1	3	12	31	6
2	2	3	12	31	7
2	1	4	12	31	8
2	2	4	12	31	8
2	1	1	13	53	8
2	2	1	13	53	8
2	1	2	13	53	1
2	2	2	13	53	1
2	1	3	13	53	6
2	2	3	13	53	5
2	1	4	13	53	8
2	2	4	13	53	8
2	1	1	14	42	9
2	2	1	14	42	8
2	1	2	14	42	1
2	2	2	14	42	1
2	1	3	14	42	3
2	2	3	14	42	4
2	1	4	14	42	7
2	2	4	14	42	5
1	1	1	15	33	4
1	2	1	15	33	5
1	1	2	15	33	6
1	2	2	15	33	7
1	1	3	15	33	7
1	2	3	15	33	7
1	1	4	15	33	7
1	2	4	15	33	8
2	1	1	16	55	7
2	2	1	16	55	2
2	1	2	16	55	1
2	2	2	16	55	1
2	1	3	16	55	5
2	2	3	16	55	7
2	1	4	16	55	5
2	2	4	16	55	8
1	1	1	17	35	7
1	2	1	17	35	8
1	1	2	17	35	5
1	2	2	17	35	5
1	1	3	17	35	7
1	2	3	17	35	8
1	1	4	17	35	4
1	2	4	17	35	3
1	1	1	18	54	9
1	2	1	18	54	7
1	1	2	18	54	3
1	2	2	18	54	2
1	1	3	18	54	6
1	2	3	18	54	6
1	1	4	18	54	7
1	2	4	18	54	8
1	1	1	19	50	9
1	2	1	19	50	9
1	1	2	19	50	1
1	2	2	19	50	1
1	1	3	19	50	1
1	2	3	19	50	1
1	1	4	19	50	5
1	2	4	19	50	5
1	1	1	20	59	7
1	2	1	20	59	7
1	1	2	20	59	2
1	2	2	20	59	2
1	1	3	20	59	7
1	2	3	20	59	8
1	1	4	20	59	6
1	2	4	20	59	4
1	1	1	21	38	7
1	2	1	21	38	7
1	1	2	21	38	1
1	2	2	21	38	2
1	1	3	21	38	4
1	2	3	21	38	3
1	1	4	21	38	4
1	2	4	21	38	5
2	1	1	22	36	8
2	2	1	22	36	4
2	1	2	22	36	1
2	2	2	22	36	1
2	1	3	22	36	5
2	2	3	22	36	2
2	1	4	22	36	4
2	2	4	22	36	3
2	1	1	23	44	7
2	2	1	23	44	6
2	1	2	23	44	1
2	2	2	23	44	1
2	1	3	23	44	2
2	2	3	23	44	2
2	1	4	23	44	5
2	2	4	23	44	2
1	1	1	24	54	8
1	2	1	24	54	8
1	1	2	24	54	7
1	2	2	24	54	7
1	1	3	24	54	9
1	2	3	24	54	8
1	1	4	24	54	7
1	2	4	24	54	8
1	1	1	25	50	5
1	2	1	25	50	5
1	1	2	25	50	6
1	2	2	25	50	7
1	1	3	25	50	6
1	2	3	25	50	7
1	1	4	25	50	7
1	2	4	25	50	8
2	1	1	26	45	8
2	2	1	26	45	7
2	1	2	26	45	1
2	2	2	26	45	1
2	1	3	26	45	6
2	2	3	26	45	8
2	1	4	26	45	6
2	2	4	26	45	3
2	1	1	29	48	1
2	2	1	29	48	8
2	1	2	29	48	1
2	2	2	29	48	1
2	1	3	29	48	7
2	2	3	29	48	7
2	1	4	29	48	1
2	2	4	29	48	2
2	1	1	30	45	6
2	2	1	30	45	6
2	1	2	30	45	8
2	2	2	30	45	7
2	1	3	30	45	6
2	2	3	30	45	7
2	1	4	30	45	7
2	2	4	30	45	6
1	1	1	31	45	6
1	2	1	31	45	7
1	1	2	31	45	8
1	2	2	31	45	7
1	1	3	31	45	8
1	2	3	31	45	7
1	1	4	31	45	8
1	2	4	31	45	8
2	1	1	32	41	8
2	2	1	32	41	8
2	1	2	32	41	4
2	2	2	32	41	5
2	1	3	32	41	8
2	2	3	32	41	8
2	1	4	32	41	5
2	2	4	32	41	7
1	1	1	33	43	3
1	2	1	33	43	5
1	1	2	33	43	1
1	2	2	33	43	1
1	1	3	33	43	1
1	2	3	33	43	3
1	1	4	33	43	6
1	2	4	33	43	2
1	1	1	34	44	4
1	2	1	34	44	5
1	1	2	34	44	6
1	2	2	34	44	7
1	1	3	34	44	7
1	2	3	34	44	6
1	1	4	34	44	7
1	2	4	34	44	8
2	1	1	35	47	5
2	2	1	35	47	8
2	1	2	35	47	3
2	2	2	35	47	5
2	1	3	35	47	5
2	2	3	35	47	8
2	1	4	35	47	7
2	2	4	35	47	7
2	1	1	36	35	6
2	2	1	36	35	6
2	1	2	36	35	8
2	2	2	36	35	9
2	1	3	36	35	7
2	2	3	36	35	7
2	1	4	36	35	8
2	2	4	36	35	6
1	1	1	37	40	2
1	2	1	37	40	4
1	1	2	37	40	6
1	2	2	37	40	7
1	1	3	37	40	8
1	2	3	37	40	7
1	1	4	37	40	5
1	2	4	37	40	6
1	1	1	38	45	7
1	2	1	38	45	6
1	1	2	38	45	4
1	2	2	38	45	4
1	1	3	38	45	5
1	2	3	38	45	3
1	1	4	38	45	5
1	2	4	38	45	4
1	1	1	39	58	6
1	2	1	39	58	8
1	1	2	39	58	6
1	2	2	39	58	8
1	1	3	39	58	5
1	2	3	39	58	7
1	1	4	39	58	4
1	2	4	39	58	4
2	1	1	40	40	1
2	2	1	40	40	5
2	1	2	40	40	2
2	2	2	40	40	3
2	1	3	40	40	8
2	2	3	40	40	8
2	1	4	40	40	9
2	2	4	40	40	7
1	1	1	41	51	6
1	2	1	41	51	6
1	1	2	41	51	4
1	2	2	41	51	5
1	1	3	41	51	6
1	2	3	41	51	5
1	1	4	41	51	5
1	2	4	41	51	4
1	1	1	42	54	5
1	2	1	42	54	6
1	1	2	42	54	6
