L	H	y
3619	7	93.3209273601677
480	51	114.439342964984
3258	20	63.7012235004304
4575	18	151.389477766265
1501	44	98.9717288372532
1499	40	109.894872110385
5299	23	138.510390137138
4163	33	80.1810556877567
1333	45	41.5342503491432
5054	6	69.6009915933517
4488	40	76.090421548818
5911	12	105.035750588145
4020	2	106.890770182141
5863	42	141.251538600198
2477	10	73.4162866031899
5771	12	86.634969800723
886	19	157.050898119884
4027	29	103.346634520156
3692	32	53.4234018694501
5645	26	94.060008823807
19	22	109.934316260827
5726	26	66.9434963462172
842	15	60.4143556975347
5088	50	181.290440009415
433	34	137.015273712119
3009	32	100.416866505336
407	45	133.502779626445
5992	47	45.764268543921
4121	12	150.447396760711
4059	2	170.521337698346
3990	27	136.960944516697
3522	4	95.8803604474495
3038	48	155.384719768946
98	19	85.5075138189764
4323	12	56.5169124443997
1316	18	113.253217642212
290	33	96.8684997244226
5449	33	73.7122023671423
2504	14	86.0598363880652
467	1	55.9241348461679
2304	14	116.385405842908
5143	3	129.268929823785
2094	26	77.6127674627625
1519	40	197.055180450183
3875	41	78.0534246057654
3985	27	48.4869234493115
4937	46	147.355199389458
1471	9	94.8017673617904
2528	28	106.471797286392
6073	30	85.8638868344616
5166	33	59.2528288031655
4408	40	134.133734461908
1492	11	60.0592091675485
1305	24	133.670376411312
5926	31	112.921238943868
5846	11	40.4892046022288
2173	7	94.9708834986547
4168	12	90.3741847513271
617	16	69.8650701089781
563	23	42.6172217834549
5541	36	105.860382526332
2062	40	80.4237459788187
2962	26	75.5412417706729
3737	50	113.93525168432
4247	24	101.356891873913
4507	15	104.065338828668
3670	18	120.605346331041
2322	44	81.6643382026556
1913	47	56.1997146465817
1741	26	77.9780253082615
1125	47	92.7405624510978
5437	4	159.587247952536
4776	18	56.2608413651399
1470	26	50.6252415960355
3607	33	84.7199601422327
2634	3	48.7732069069548
4255	14	137.111022213369
3200	21	127.78929137035
4803	25	170.489782230457
5079	10	45.3027581410989
4528	43	95.7995429750408
6006	3	107.83899659182
5527	6	40.576409507318
6059	40	110.336386248136
5028	14	98.2470023983181
2078	25	63.6450377929258
2636	19	99.2057702671085
2685	25	115.305849329737
5552	13	107.263585118895
5321	2	76.0552475600864
5222	6	82.5547572180326
1355	49	106.855194911019
3205	40	57.6545839928472
738	8	156.539785815193
580	18	102.499187031039
198	15	76.7936510969542
2066	2	56.0193634299529
4460	42	73.6863648453664
1922	16	142.587396149344
1207	42	42.1803820003065
2546	8	15.7311126113194
3591	33	62.3754401721151
1974	43	35.3898015713063
1399	50	50.9750981362353
5645	33	89.5252402698917
62	33	87.4480634634345
4206	49	31.7330079418191
2129	24	81.2944358683826
1336	22	108.363262458469
4357	9	143.974603524701
5531	33	92.4975596336559
4042	34	103.024595737589
5514	46	138.236423570824
4390	29	13.2903212855758
3122	19	81.540832580049
15	19	107.786730666362
3929	36	48.9918468354233
3752	2	95.8138980028655
1263	14	101.108483401767
5058	20	120.601075587859
2199	30	91.1028837474367
2577	5	146.329364259476
5303	21	66.94537321348
308	23	69.4219606813517
5365	25	95.299416690366
485	11	97.96623183613
2535	44	38.4308733816312
