MArray	Dye	Trt	Pin	Dip	Gene	log2i
1	1	0	2	3	416	5.2234350591
1	1	0	2	1	365	4.7920979748
1	1	0	1	3	354	3.9495949622
1	1	0	4	2	91	6.5930949501
1	1	0	1	2	230	3.6432754183
1	1	0	4	2	91	6.7103906228
1	1	0	1	1	141	3.6228018129
1	1	0	3	2	401	5.8682703529
1	1	0	3	2	101	5.2084931892
1	1	0	1	4	116	3.2399853424
1	1	0	3	1	416	5.7468819595
1	1	0	4	2	109	6.6709704405
1	1	0	2	1	373	4.722714427
1	1	0	1	4	395	4.3753351578
1	1	0	3	1	157	5.3153784344
1	1	0	3	3	419	5.9350272935
1	1	0	1	4	13	3.3910063013
1	1	0	4	2	278	7.4265436987
1	1	0	2	2	183	4.6494240766
1	1	0	2	2	219	4.5633906473
1	1	0	4	4	192	6.6861675381
1	1	0	3	1	393	5.7070765831
1	1	0	4	3	452	7.2197011655
1	1	0	2	3	202	4.3726067121
1	1	0	3	3	304	5.8574724203
1	1	0	3	3	323	5.7563765749
1	1	0	4	2	292	6.9643258432
1	1	0	3	4	28	5.2522605379
1	1	0	3	3	134	5.4440013757
1	1	0	4	4	79	6.6138165059
1	1	0	1	3	349	3.9664200147
1	1	0	2	1	451	5.0151247184
1	1	0	4	4	52	6.8418015167
1	1	0	2	1	215	4.6477960627
1	1	0	2	4	438	5.1234196235
1	1	0	3	1	233	5.493011705
1	1	0	2	1	356	4.7888472111
1	1	0	4	3	256	7.0922372347
1	1	0	2	2	470	5.1577823441
1	1	0	2	2	10	4.1456342053
1	1	0	3	3	420	6.3111419787
1	1	0	1	2	493	3.7752640941
1	1	0	3	4	227	5.5485953314
1	1	0	3	2	388	6.1362417994
1	1	0	3	4	26	5.0489010851
1	1	0	3	1	71	4.9733848474
1	1	0	4	2	444	7.4130299622
1	1	0	3	3	172	5.3724204923
1	1	0	4	3	274	7.1276365706
1	1	0	1	2	108	3.3454744047
1	1	0	1	4	105	3.2923430606
1	1	0	2	3	250	4.8175596409
1	1	0	4	4	499	7.3942745067
1	1	0	1	3	332	3.9952297669
1	1	0	4	3	421	7.2916607761
1	1	0	1	3	370	3.8866257975
1	1	0	4	2	98	6.5338319163
1	1	0	3	2	199	5.7381334239
1	1	0	2	2	399	5.1715130987
1	1	0	1	2	458	4.4406196255
1	1	0	3	1	466	5.9730799653
1	1	0	4	2	281	7.0511618427
1	1	0	3	1	198	5.5717768917
1	1	0	2	4	140	4.5154702317
1	1	0	3	4	387	5.8589544796
1	1	0	2	1	484	5.1026642587
1	1	0	1	1	405	4.0584931232
1	1	0	4	4	297	7.1412444991
1	1	0	4	2	19	6.3335850826
