obs	treat	rat	age	respons	t
1	con	3	50	75.0067	0.405465108108164
2	con	3	60	78.5684	0.916290731874155
3	con	3	70	79.925	1.25276296849537
4	con	3	80	80.7775	1.50407739677627
5	con	5	50	67.9559	0.405465108108164
6	con	6	50	76.0066	0.405465108108164
7	con	6	60	78.2943	0.916290731874155
8	con	6	70	81.2158	1.25276296849537
9	con	9	50	70.8308	0.405465108108164
10	con	9	60	74.9533	0.916290731874155
11	con	9	70	75.1665	1.25276296849537
12	con	9	80	77.666	1.50407739677627
13	con	9	90	82.7345	1.70474809223843
14	con	11	50	71.8471	0.405465108108164
15	con	11	60	75.1332	0.916290731874155
16	con	11	70	76.2168	1.25276296849537
17	con	20	50	72.8354	0.405465108108164
18	con	20	60	78.5684	0.916290731874155
19	con	20	70	80.604	1.25276296849537
20	con	20	80	82.0731	1.50407739677627
21	con	22	50	70.7248	0.405465108108164
22	con	22	60	74.8131	0.916290731874155
23	con	22	70	75.1665	1.25276296849537
24	con	22	80	77.0065	1.50407739677627
25	con	22	90	81.0247	1.70474809223843
26	con	22	100	78.492	1.87180217690159
27	con	22	110	81.8413	2.01490302054226
28	con	23	50	74.5185	0.405465108108164
29	con	24	50	73.4983	0.405465108108164
30	con	24	60	75.591	0.916290731874155
31	con	24	70	77.9359	1.25276296849537
32	con	24	80	79.196	1.50407739677627
33	con	24	90	81.0247	1.70474809223843
34	con	24	100	82.4621	1.87180217690159
35	con	24	110	86.2844	2.01490302054226
36	con	25	50	69.6419	0.405465108108164
37	con	25	60	74.0945	0.916290731874155
38	con	25	70	78.3901	1.25276296849537
39	con	26	50	74.027	0.405465108108164
40	con	26	60	77.5242	0.916290731874155
41	con	26	70	81.8352	1.25276296849537
42	con	26	80	81.6333	1.50407739677627
43	con	43	50	70.2922	0.405465108108164
44	con	43	60	76.0263	0.916290731874155
45	con	43	70	77.8332	1.25276296849537
46	con	43	80	79.511	1.50407739677627
47	con	43	90	80.2808	1.70474809223843
48	con	44	50	70.8025	0.405465108108164
49	con	44	60	75.2861	0.916290731874155
50	con	44	70	78.3901	1.25276296849537
51	con	44	80	80.9197	1.50407739677627
52	con	44	90	79.6053	1.70474809223843
53	con	44	100	80.6226	1.87180217690159
54	con	44	110	82.662	2.01490302054226
55	con	47	50	66.8431	0.405465108108164
56	con	47	60	73	0.916290731874155
57	con	47	70	74.6525	1.25276296849537
58	con	47	80	77.4661	1.50407739677627
59	con	47	90	77.1038	1.70474809223843
60	con	48	50	70.6045	0.405465108108164
61	con	48	60	74.9533	0.916290731874155
62	con	48	70	78.4092	1.25276296849537
63	con	48	80	78.6003	1.50407739677627
64	con	48	90	80.7217	1.70474809223843
65	con	48	100	82.801	1.87180217690159
66	con	48	110	83.006	2.01490302054226
67	hig	1	50	69.3397	0.405465108108164
68	hig	1	60	73.2462	0.916290731874155
69	hig	1	70	77.3886	1.25276296849537
70	hig	1	80	78.1025	1.50407739677627
71	hig	1	90	76.4853	1.70474809223843
72	hig	1	100	77.801	1.87180217690159
73	hig	1	110	79.0569	2.01490302054226
74	hig	7	50	70.8025	0.405465108108164
75	hig	7	60	75	0.916290731874155
76	hig	7	70	76.844	1.25276296849537
77	hig	7	80	81.0247	1.50407739677627
78	hig	7	90	80.604	1.70474809223843
79	hig	7	100	82.801	1.87180217690159
80	hig	7	110	83.8153	2.01490302054226
81	hig	12	50	74.2765	0.405465108108164
82	hig	12	60	77.7817	0.916290731874155
83	hig	12	70	79.9062	1.25276296849537
84	hig	12	80	84.6463	1.50407739677627
85	hig	14	50	71.1196	0.405465108108164
86	hig	14	60	74.4043	0.916290731874155
87	hig	14	70	75.452	1.25276296849537
88	hig	49	50	69.4622	0.405465108108164
89	hig	49	60	74.686	0.916290731874155
90	hig	49	70	75.743	1.25276296849537
91	hig	49	80	78.2432	1.50407739677627
92	hig	49	90	77.1557	1.70474809223843
93	hig	49	100	77.4661	1.87180217690159
94	hig	49	110	80.2808	2.01490302054226
95	hig	50	50	73.2462	0.405465108108164
96	hig	50	60	74.6525	0.916290731874155
97	hig	50	70	76.844	1.25276296849537
98	hig	50	80	80.2808	1.50407739677627
99	hig	50	90	80.604	1.70474809223843
100	hig	50	100	82.3772	1.87180217690159
101	hig	50	110	83.4086	2.01490302054226
102	hig	51	50	68.884	0.405465108108164
103	hig	51	60	72.9178	0.916290731874155
104	hig	51	70	76.0592	1.25276296849537
105	hig	51	80	79.2023	1.50407739677627
106	hig	52	50	71.4213	0.405465108108164
107	hig	52	60	76.844	0.916290731874155
108	hig	52	70	77.666	1.25276296849537
109	hig	52	80	81.8352	1.50407739677627
110	hig	52	90	81.4002	1.70474809223843
111	hig	52	100	83.4086	1.87180217690159
112	hig	52	110	84.7231	2.01490302054226
113	hig	53	50	70.4557	0.405465108108164
114	hig	53	60	72.1249	0.916290731874155
115	hig	53	70	75.452	1.25276296849537
116	hig	53	80	78.6003	1.50407739677627
117	hig	53	90	77.3369	1.70474809223843
118	hig	53	100	79.8812	1.87180217690159
119	hig	53	110	80.8022	2.01490302054226
120	hig	54	50	67.6018	0.405465108108164
121	hig	54	60	70.6612	0.916290731874155
122	hig	54	70	74.2024	1.25276296849537
123	hig	56	50	69.3109	0.405465108108164
124	hig	56	60	73.9256	0.916290731874155
125	hig	56	70	75.4718	1.25276296849537
126	hig	56	80	77.7817	1.50407739677627
127	hig	57	50	72.2011	0.405465108108164
128	hig	57	60	76.0066	0.916290731874155
129	hig	57	70	77.0779	1.25276296849537
130	hig	57	80	80.1561	1.50407739677627
131	hig	57	90	81.3941	1.70474809223843
132	hig	57	100	83.4865	1.87180217690159
133	hig	57	110	82.662	2.01490302054226
134	hig	59	50	70.8378	0.405465108108164
135	hig	60	50	70.214	0.405465108108164
136	hig	60	60	75.4321	0.916290731874155
137	hig	60	70	77.4209	1.25276296849537
138	hig	60	80	79.0569	1.50407739677627
139	hig	60	90	77.2334	1.70474809223843
140	hig	60	100	81.0247	1.87180217690159
141	hig	60	110	83.5284	2.01490302054226
142	hig	62	50	71.7008	0.405465108108164
143	hig	62	60	74.8131	0.916290731874155
144	hig	63	50	68.4763	0.405465108108164
145	hig	63	60	75.4718	0.916290731874155
146	hig	63	70	76.4003	1.25276296849537
147	hig	63	80	78.2304	1.50407739677627
148	hig	63	90	78.5493	1.70474809223843
149	hig	63	100	80.2808	1.87180217690159
150	hig	63	110	81.3941	2.01490302054226
151	hig	64	50	70.8025	0.405465108108164
152	hig	64	60	73.4098	0.916290731874155
153	hig	64	70	75.6042	1.25276296849537
154	hig	64	80	78.6448	1.50407739677627
155	hig	64	90	79.0253	1.70474809223843
156	hig	64	100	80.604	1.87180217690159
157	hig	64	110	81.8841	2.01490302054226
158	low	8	50	71.7008	0.405465108108164
159	low	8	60	78.8162	0.916290731874155
160	low	10	50	71.2811	0.405465108108164
161	low	10	60	78.492	0.916290731874155
162	low	10	70	82.4924	1.25276296849537
163	low	10	80	82.3772	1.50407739677627
164	low	10	90	84.8116	1.70474809223843
165	low	10	100	84.2912	1.87180217690159
166	low	10	110	83.863	2.01490302054226
167	low	13	50	66.6033	0.405465108108164
168	low	13	60	70.6045	0.916290731874155
169	low	13	70	72.0694	1.25276296849537
170	low	13	80	73.8783	1.50407739677627
171	low	13	90	75.8222	1.70474809223843
172	low	13	100	78.2432	1.87180217690159
173	low	13	110	79.6492	2.01490302054226
174	low	16	50	72.7186	0.405465108108164
175	low	16	60	81.5659	0.916290731874155
176	low	16	70	82.134	1.25276296849537
177	low	16	80	83.006	1.50407739677627
178	low	16	90	83.7377	1.70474809223843
179	low	16	100	84.8999	1.87180217690159
180	low	16	110	86.8332	2.01490302054226
181	low	17	50	73.2462	0.405465108108164
182	low	17	60	80.9568	0.916290731874155
183	low	17	70	78.4092	1.25276296849537
184	low	17	80	81.2712	1.50407739677627
185	low	17	90	83.4086	1.70474809223843
186	low	27	50	70.4557	0.405465108108164
187	low	27	60	78.4092	0.916290731874155
188	low	27	70	79.404	1.25276296849537
189	low	27	80	80.8022	1.50407739677627
190	low	27	90	82.662	1.70474809223843
191	low	27	100	82.8794	1.87180217690159
192	low	27	110	85.703	2.01490302054226
193	low	28	50	70.1783	0.405465108108164
194	low	30	50	72.2496	0.405465108108164
195	low	30	60	75.4321	0.916290731874155
196	low	31	50	70.8308	0.405465108108164
197	low	31	60	75.8024	0.916290731874155
198	low	31	70	80	1.25276296849537
199	low	31	80	81.6333	1.50407739677627
200	low	31	90	82.0061	1.70474809223843
201	low	31	100	80.8084	1.87180217690159
202	low	31	110	82.6801	2.01490302054226
203	low	32	50	70.1783	0.405465108108164
204	low	32	60	72.4707	0.916290731874155
205	low	32	70	75.8222	1.25276296849537
206	low	32	80	76.6094	1.50407739677627
207	low	33	50	69.1158	0.405465108108164
208	low	33	60	74.3303	0.916290731874155
209	low	33	70	76.8505	1.25276296849537
210	low	33	80	77.0065	1.50407739677627
211	low	33	90	78.5175	1.70474809223843
212	low	33	100	81.6884	1.87180217690159
213	low	34	50	73.0068	0.405465108108164
214	low	34	60	77.5242	0.916290731874155
215	low	34	70	77.201	1.25276296849537
216	low	34	80	82.801	1.50407739677627
217	low	34	90	81.3204	1.70474809223843
218	low	34	100	83.4086	1.87180217690159
219	low	35	50	75.0733	0.405465108108164
220	low	35	60	78.032	0.916290731874155
221	low	35	70	80.1561	1.25276296849537
222	low	35	80	83.006	1.50407739677627
223	low	35	90	82.2192	1.70474809223843
224	low	35	100	84.0536	1.87180217690159
225	low	35	110	84.8764	2.01490302054226
226	low	37	50	69.7711	0.405465108108164
227	low	37	60	74.4043	0.916290731874155
228	low	37	70	76.6094	1.25276296849537
229	low	37	80	77.3886	1.50407739677627
230	low	37	90	82.4197	1.70474809223843
231	low	37	100	80.2808	1.87180217690159
232	low	37	110	82.662	2.01490302054226
233	low	38	50	71.5612	0.405465108108164
234	low	38	60	78.0064	0.916290731874155
235	low	38	70	81.6884	1.25276296849537
236	low	38	80	79.3221	1.50407739677627
237	low	39	50	74.027	0.405465108108164
238	low	39	60	75.4718	0.916290731874155
239	low	39	70	79.511	1.25276296849537
240	low	39	80	80.4487	1.50407739677627
241	low	40	50	70.3449	0.405465108108164
242	low	40	60	76.844	0.916290731874155
243	low	40	70	76.6942	1.25276296849537
244	low	40	80	81.0247	1.50407739677627
245	low	40	90	81.3449	1.70474809223843
246	low	41	50	73.2462	0.405465108108164
247	low	41	60	78.2368	0.916290731874155
248	low	41	70	79.6492	1.25276296849537
249	low	41	80	80.2122	1.50407739677627
250	low	41	90	84.8116	1.70474809223843
251	low	41	100	82.3286	1.87180217690159
252	low	41	110	85.2115	2.01490302054226
