Animal	Species	Farm	Yield
2724	1	34	9.1404031654
2435	2	26	4.1426679357
447	2	98	11.809640815
2964	2	6	4.2612897174
620	3	74	10.562989195
755	2	23	-0.61190926
1350	4	36	5.1426063491
2226	1	51	2.5899387242
826	4	6	5.8586678172
1281	4	83	11.674944033
2214	2	16	0.7487165106
2867	1	81	8.117694425
1701	1	9	-1.218751685
2994	5	16	0.966482783
1147	4	29	6.4124324548
1693	4	68	11.640345088
1975	4	10	6.4600767717
1709	4	72	8.8512750872
175	2	21	9.198594106
1015	1	75	3.2855384885
1495	4	38	3.097227646
2928	3	96	14.546982904
2365	3	64	14.705094384
1358	3	15	-2.34279022
470	5	60	12.005665863
412	4	88	13.015993406
79	1	23	4.3971781834
1370	4	68	17.634076686
2313	2	90	11.692469716
2259	5	33	6.9142324584
58	5	28	8.5829945785
784	4	62	15.084087098
145	5	55	12.595591662
1934	4	79	10.723715691
1478	4	28	5.5276920865
2253	4	3	4.9190102168
2928	3	96	12.678357297
1372	5	43	1.6781804168
357	4	57	6.9889630487
1355	3	82	13.605656633
1018	1	48	2.1774472584
2767	3	87	13.569637081
1665	3	69	14.68158715
2882	1	77	11.065816436
497	1	39	5.999315759
162	2	27	3.5449588494
740	4	2	5.5505080487
90	4	6	6.7096043733
2982	1	61	6.4961614981
2213	4	74	13.652441912
247	2	32	9.6574990458
594	5	37	12.123146101
1399	3	39	3.3951374924
2237	3	79	12.946518493
1623	1	84	15.159022375
1407	5	70	15.617404301
2417	2	37	4.5967758454
2198	1	92	12.353493551
2157	4	53	12.975919959
2844	5	85	9.2674681702
1933	3	32	7.8647394124
1722	2	77	6.0159915806
1847	1	32	15.500706788
772	4	49	15.617205991
1848	2	89	9.8960601316
319	4	6	5.5208732732
1867	3	38	1.1697273645
2100	5	27	12.244983906
595	1	100	15.738691057
822	1	73	10.032665852
1678	5	5	8.598850462
505	4	12	13.437911094
344	4	8	0.0470699147
1385	2	80	8.1850540084
1489	4	23	6.2645197656
195	2	53	9.8737088752
701	5	78	13.224934575
1785	2	24	6.8010158153
1240	4	94	11.429473608
2673	5	13	3.7768722829
739	1	51	3.5610475587
1128	1	45	2.7736827556
2182	1	80	13.283968737
1917	3	10	1.9388932667
871	1	71	8.4729120395
450	3	79	9.3637651847
2237	3	79	13.068412728
2941	5	5	6.6916295005
843	3	48	5.593311948
2962	5	4	4.4417045572
1976	5	90	18.568834252
1846	5	17	11.514575415
178	5	80	11.574681992
904	5	66	10.332487384
975	4	78	14.321770753
1733	4	53	11.188247404
2445	3	71	6.1135373426
72	1	61	9.2577796947
2901	1	98	7.8897709942
2062	2	63	10.780540573
2191	5	86	14.10915551
2503	5	2	7.276250614
1518	4	36	5.482357802
1374	4	71	14.570699409
912	3	35	9.6772970605
205	3	40	6.5767826864
479	2	82	6.414273186
379	2	6	-1.457564394
1157	3	54	6.3028021934
2413	4	83	16.319860515
2470	5	89	10.229319495
763	2	46	13.168681249
2634	3	3	4.2315611622
2189	4	26	6.5984656333
1818	4	84	7.5210027468
100	4	80	14.656738158
425	1	38	0.8638261738
1481	2	24	9.7692671055
747	2	94	14.948894858
269	2	71	8.5493307532
828	3	81	10.526082423
843	3	48	11.038761757
2053	2	89	10.279385876
393	2	5	10.087001783
1609	4	61	0.163095186
588	5	88	15.927645305
555	4	68	12.338486778
